sample_index,roll_id,die_index,value,held,source,rescued,rescue_kind,escape_recovered,stuck_reroll,stuck_reason,final_align,unsettled_secs,final_x,final_z,final_height,spawn_x,spawn_y,spawn_z,roll_duration_secs
10004,8008,4,4,false,batch,false,,false,false,,1.000,0.000,0.0733,0.0844,0.0214,0.0578,0.0797,0.0661,0.431
10000,8009,0,3,false,batch,false,,false,false,,1.000,0.000,-0.0602,-0.0791,0.0214,-0.0525,0.0708,-0.0602,1.483
10001,8009,1,2,false,batch,true,stacked,false,false,,1.000,0.000,0.0829,-0.0570,0.0214,0.0561,0.0784,-0.0572,1.483
10002,8009,2,5,false,batch,false,,false,false,,1.000,0.000,-0.0179,-0.0359,0.0214,-0.0112,0.0813,0.0029,1.483
10003,8009,3,3,false,batch,false,,false,false,,1.000,0.000,-0.0747,0.0591,0.0214,-0.0614,0.0578,0.0635,1.483
10004,8009,4,3,false,batch,false,,false,false,,1.000,0.000,-0.0134,0.0868,0.0214,0.0442,0.0712,0.0648,1.483
10000,8010,0,3,false,batch,false,,false,false,,1.000,0.000,-0.0248,-0.0880,0.0214,-0.0612,0.0795,-0.0669,0.083
10001,8010,1,5,false,batch,false,,false,false,,1.000,0.000,0.0328,-0.0704,0.0214,0.0600,0.0836,-0.0648,0.083
10002,8010,2,6,false,batch,false,,false,false,,1.000,0.000,0.0122,-0.0186,0.0214,-0.0084,0.0620,0.0046,0.083
10003,8010,3,4,false,batch,false,,false,false,,1.000,0.000,-0.0952,0.0923,0.0214,-0.0531,0.0882,0.0497,0.083
10004,8010,4,6,false,batch,false,,false,false,,1.000,0.000,0.0524,0.0848,0.0214,0.0550,0.0684,0.0636,0.083
10000,8011,0,5,false,batch,false,,false,false,,1.000,0.000,-0.0403,-0.0554,0.0214,-0.0645,0.0839,-0.0658,0.083
10001,8011,1,6,false,batch,false,,false,false,,1.000,0.000,0.0474,-0.0930,0.0214,0.0486,0.0770,-0.0484,0.083
10002,8011,2,6,false,batch,false,,false,false,,1.000,0.000,-0.0300,0.0139,0.0214,0.0109,0.0631,-0.0087,0.083
10003,8011,3,3,false,batch,false,,false,false,,1.000,0.000,-0.0661,0.0652,0.0214,-0.0626,0.0598,0.0534,0.083
10004,8011,4,3,false,batch,false,,false,false,,1.000,0.000,0.0738,0.0640,0.0214,0.0451,0.0679,0.0578,0.083
10000,8012,0,2,false,batch,false,,false,false,,1.000,0.000,-0.0972,-0.0329,0.0214,-0.0577,0.0696,-0.0464,1.183
10001,8012,1,1,false,batch,false,,false,false,,1.000,0.000,0.0373,-0.0550,0.0214,0.0562,0.0856,-0.0597,1.183
10002,8012,2,1,false,batch,false,,false,false,,1.000,0.000,0.0205,-0.0039,0.0214,0.0040,0.0652,0.0031,1.183
10003,8012,3,2,false,batch,false,,false,false,,1.000,0.000,-0.0471,0.0378,0.0214,-0.0531,0.0890,0.0515,1.183
10004,8012,4,2,false,batch,false,,false,false,,1.000,0.000,0.0618,0.0526,0.0214,0.0609,0.0731,0.0493,1.183
10000,8013,0,6,false,batch,false,,false,false,,1.000,0.000,-0.0305,-0.0015,0.0214,-0.0636,0.0528,-0.0446,0.083
10001,8013,1,3,false,batch,false,,false,false,,1.000,0.000,0.0339,-0.0455,0.0214,0.0474,0.0660,-0.0643,0.083
10002,8013,2,3,false,batch,false,,false,false,,1.000,0.000,0.0786,-0.0712,0.0214,0.0092,0.0769,0.0089,0.083
10003,8013,3,2,false,batch,false,,false,false,,1.000,0.000,-0.0779,0.0609,0.0214,-0.0474,0.0620,0.0467,0.083
10004,8013,4,1,false,batch,false,,false,false,,1.000,0.000,0.0508,0.0820,0.0214,0.0547,0.0560,0.0503,0.083
10000,8014,0,6,false,batch,false,,false,false,,1.000,0.000,-0.0507,-0.0370,0.0214,-0.0465,0.0892,-0.0534,1.267
10001,8014,1,6,false,batch,false,,false,false,,1.000,0.000,0.0841,-0.0483,0.0214,0.0570,0.0734,-0.0599,1.267
10002,8014,2,4,false,batch,false,,false,false,,1.000,0.000,-0.0054,-0.0129,0.0214,0.0017,0.0550,-0.0098,1.267
10003,8014,3,1,false,batch,false,,false,false,,1.000,0.000,-0.0622,0.0233,0.0214,-0.0582,0.0721,0.0524,1.267
10004,8014,4,1,false,batch,false,,false,false,,1.000,0.000,-0.0195,0.0604,0.0214,0.0490,0.0626,0.0464,1.267
10000,8015,0,1,false,batch,false,,false,false,,1.000,0.000,-0.0579,-0.0437,0.0214,-0.0596,0.0819,-0.0521,1.133
10001,8015,1,6,false,batch,false,,false,false,,1.000,0.000,0.0900,-0.0900,0.0214,0.0577,0.0745,-0.0660,1.133
10002,8015,2,6,false,batch,false,,false,false,,1.000,0.000,0.0475,-0.0636,0.0214,-0.0026,0.0586,-0.0056,1.133
